Wallet loaded: EpG25pVadjQ9M9NHJMXZ...
📊 Monitoring Punch (DYNAMIC TP/SL v2 - 5s interval)...
  Entry: $0.00997600
  Initial SL: $0.00981638
  Initial TP1: $0.01033514
  Initial TP2: $0.01051470
  Max Hold: 15 min (0.3 hours)
  Trailing: ENABLED (activates at +5%)
5:27:28 PM | Punch: $0.00997600 | PnL: 0.00% | Momentum: neutral | SL: $0.009816
5:30:05 PM | Punch: $0.01002000 | PnL: +0.44% | Momentum: neutral | SL: $0.009816
5:30:10 PM | Punch: $0.01002000 | PnL: +0.44% | Momentum: neutral | SL: $0.009816
5:30:15 PM | Punch: $0.00996800 | PnL: -0.08% | Momentum: neutral | SL: $0.009816
5:30:20 PM | Punch: $0.00996800 | PnL: -0.08% | Momentum: neutral | SL: $0.009816
5:30:25 PM | Punch: $0.01002000 | PnL: +0.44% | Momentum: neutral | SL: $0.009816
5:30:30 PM | Punch: $0.00996800 | PnL: -0.08% | Momentum: neutral | SL: $0.009816
5:30:35 PM | Punch: $0.00996800 | PnL: -0.08% | Momentum: neutral | SL: $0.009816
5:30:41 PM | Punch: $0.00997400 | PnL: -0.02% | Momentum: neutral | SL: $0.009816
5:30:46 PM | Punch: $0.00997400 | PnL: -0.02% | Momentum: neutral | SL: $0.009816
5:30:52 PM | Punch: $0.00997400 | PnL: -0.02% | Momentum: neutral | SL: $0.009816
5:30:57 PM | Punch: $0.00997400 | PnL: -0.02% | Momentum: neutral | SL: $0.009816
5:31:02 PM | Punch: $0.00997400 | PnL: -0.02% | Momentum: neutral | SL: $0.009816
5:31:07 PM | Punch: $0.00997400 | PnL: -0.02% | Momentum: neutral | SL: $0.009816
5:31:12 PM | Punch: $0.00997400 | PnL: -0.02% | Momentum: neutral | SL: $0.009816
5:31:17 PM | Punch: $0.00997400 | PnL: -0.02% | Momentum: neutral | SL: $0.009816
5:31:22 PM | Punch: $0.00999800 | PnL: +0.22% | Momentum: neutral | SL: $0.009816
5:31:27 PM | Punch: $0.00999800 | PnL: +0.22% | Momentum: neutral | SL: $0.009816
5:31:32 PM | Punch: $0.00999800 | PnL: +0.22% | Momentum: neutral | SL: $0.009816
5:31:37 PM | Punch: $0.00999800 | PnL: +0.22% | Momentum: neutral | SL: $0.009816
5:31:42 PM | Punch: $0.00999800 | PnL: +0.22% | Momentum: neutral | SL: $0.009816
5:31:47 PM | Punch: $0.00999800 | PnL: +0.22% | Momentum: neutral | SL: $0.009816
5:31:52 PM | Punch: $0.00999800 | PnL: +0.22% | Momentum: neutral | SL: $0.009816
5:31:57 PM | Punch: $0.00999800 | PnL: +0.22% | Momentum: neutral | SL: $0.009816
5:32:03 PM | Punch: $0.00993700 | PnL: -0.39% | Momentum: neutral | SL: $0.009816
5:32:08 PM | Punch: $0.00993700 | PnL: -0.39% | Momentum: neutral | SL: $0.009816
5:32:13 PM | Punch: $0.00993700 | PnL: -0.39% | Momentum: neutral | SL: $0.009816
5:32:18 PM | Punch: $0.00993700 | PnL: -0.39% | Momentum: neutral | SL: $0.009816
5:32:23 PM | Punch: $0.00993700 | PnL: -0.39% | Momentum: neutral | SL: $0.009816
5:32:28 PM | Punch: $0.00993700 | PnL: -0.39% | Momentum: neutral | SL: $0.009816
5:32:33 PM | Punch: $0.00993200 | PnL: -0.44% | Momentum: neutral | SL: $0.009816
5:32:38 PM | Punch: $0.00993200 | PnL: -0.44% | Momentum: neutral | SL: $0.009816
5:32:43 PM | Punch: $0.00993200 | PnL: -0.44% | Momentum: neutral | SL: $0.009816
5:32:48 PM | Punch: $0.00993200 | PnL: -0.44% | Momentum: neutral | SL: $0.009816
5:32:53 PM | Punch: $0.00993200 | PnL: -0.44% | Momentum: neutral | SL: $0.009816
5:32:58 PM | Punch: $0.00993200 | PnL: -0.44% | Momentum: neutral | SL: $0.009816
5:33:03 PM | Punch: $0.00993200 | PnL: -0.44% | Momentum: neutral | SL: $0.009816
5:33:08 PM | Punch: $0.00995800 | PnL: -0.18% | Momentum: neutral | SL: $0.009816
5:33:13 PM | Punch: $0.00995800 | PnL: -0.18% | Momentum: neutral | SL: $0.009816
5:33:18 PM | Punch: $0.00995800 | PnL: -0.18% | Momentum: neutral | SL: $0.009816
5:33:23 PM | Punch: $0.00995800 | PnL: -0.18% | Momentum: neutral | SL: $0.009816
5:33:28 PM | Punch: $0.00995800 | PnL: -0.18% | Momentum: neutral | SL: $0.009816
5:33:33 PM | Punch: $0.00995800 | PnL: -0.18% | Momentum: neutral | SL: $0.009816
5:33:38 PM | Punch: $0.00995800 | PnL: -0.18% | Momentum: neutral | SL: $0.009816
5:33:44 PM | Punch: $0.00995300 | PnL: -0.23% | Momentum: neutral | SL: $0.009816
5:33:49 PM | Punch: $0.00995300 | PnL: -0.23% | Momentum: neutral | SL: $0.009816
5:33:54 PM | Punch: $0.00995300 | PnL: -0.23% | Momentum: neutral | SL: $0.009816
5:33:59 PM | Punch: $0.00995300 | PnL: -0.23% | Momentum: neutral | SL: $0.009816
5:34:04 PM | Punch: $0.00995300 | PnL: -0.23% | Momentum: neutral | SL: $0.009816
5:34:09 PM | Punch: $0.00995300 | PnL: -0.23% | Momentum: neutral | SL: $0.009816
5:34:14 PM | Punch: $0.00995300 | PnL: -0.23% | Momentum: neutral | SL: $0.009816
5:34:19 PM | Punch: $0.00995300 | PnL: -0.23% | Momentum: neutral | SL: $0.009816
5:34:24 PM | Punch: $0.00995300 | PnL: -0.23% | Momentum: neutral | SL: $0.009816
5:34:29 PM | Punch: $0.00995300 | PnL: -0.23% | Momentum: neutral | SL: $0.009816
5:34:34 PM | Punch: $0.00995300 | PnL: -0.23% | Momentum: neutral | SL: $0.009816
5:34:39 PM | Punch: $0.00995300 | PnL: -0.23% | Momentum: neutral | SL: $0.009816
5:34:44 PM | Punch: $0.00995300 | PnL: -0.23% | Momentum: neutral | SL: $0.009816
5:34:49 PM | Punch: $0.00995300 | PnL: -0.23% | Momentum: neutral | SL: $0.009816
5:34:55 PM | Punch: $0.00991300 | PnL: -0.63% | Momentum: neutral | SL: $0.009816
5:35:00 PM | Punch: $0.00991300 | PnL: -0.63% | Momentum: neutral | SL: $0.009816
5:35:05 PM | Punch: $0.00991300 | PnL: -0.63% | Momentum: neutral | SL: $0.009816
5:35:10 PM | Punch: $0.00991300 | PnL: -0.63% | Momentum: neutral | SL: $0.009816
5:35:15 PM | Punch: $0.00991300 | PnL: -0.63% | Momentum: neutral | SL: $0.009816
5:35:20 PM | Punch: $0.00991300 | PnL: -0.63% | Momentum: neutral | SL: $0.009816
5:35:25 PM | Punch: $0.00989700 | PnL: -0.79% | Momentum: neutral | SL: $0.009816
5:35:30 PM | Punch: $0.00989700 | PnL: -0.79% | Momentum: neutral | SL: $0.009816
5:35:35 PM | Punch: $0.00989700 | PnL: -0.79% | Momentum: neutral | SL: $0.009816
5:35:40 PM | Punch: $0.00989700 | PnL: -0.79% | Momentum: neutral | SL: $0.009816
5:35:45 PM | Punch: $0.00989700 | PnL: -0.79% | Momentum: neutral | SL: $0.009816
5:35:50 PM | Punch: $0.00989700 | PnL: -0.79% | Momentum: neutral | SL: $0.009816
5:35:55 PM | Punch: $0.00989700 | PnL: -0.79% | Momentum: neutral | SL: $0.009816
5:36:00 PM | Punch: $0.00990600 | PnL: -0.70% | Momentum: neutral | SL: $0.009816
5:36:06 PM | Punch: $0.00990600 | PnL: -0.70% | Momentum: neutral | SL: $0.009816
5:36:11 PM | Punch: $0.00990600 | PnL: -0.70% | Momentum: neutral | SL: $0.009816
5:36:16 PM | Punch: $0.00990600 | PnL: -0.70% | Momentum: neutral | SL: $0.009816
5:36:21 PM | Punch: $0.00990600 | PnL: -0.70% | Momentum: neutral | SL: $0.009816
5:36:26 PM | Punch: $0.00990600 | PnL: -0.70% | Momentum: neutral | SL: $0.009816
5:36:31 PM | Punch: $0.00990600 | PnL: -0.70% | Momentum: neutral | SL: $0.009816
5:36:36 PM | Punch: $0.00990600 | PnL: -0.70% | Momentum: neutral | SL: $0.009816
5:36:41 PM | Punch: $0.00990600 | PnL: -0.70% | Momentum: neutral | SL: $0.009816
5:36:46 PM | Punch: $0.00990600 | PnL: -0.70% | Momentum: neutral | SL: $0.009816
5:36:51 PM | Punch: $0.00990600 | PnL: -0.70% | Momentum: neutral | SL: $0.009816
5:36:56 PM | Punch: $0.00990600 | PnL: -0.70% | Momentum: neutral | SL: $0.009816
5:37:01 PM | Punch: $0.00990600 | PnL: -0.70% | Momentum: neutral | SL: $0.009816
5:37:06 PM | Punch: $0.00991600 | PnL: -0.60% | Momentum: neutral | SL: $0.009816
5:37:11 PM | Punch: $0.00990600 | PnL: -0.70% | Momentum: neutral | SL: $0.009816
5:37:16 PM | Punch: $0.00991600 | PnL: -0.60% | Momentum: neutral | SL: $0.009816
5:37:22 PM | Punch: $0.00991600 | PnL: -0.60% | Momentum: neutral | SL: $0.009816
5:37:27 PM | Punch: $0.00991200 | PnL: -0.64% | Momentum: neutral | SL: $0.009816
5:37:32 PM | Punch: $0.00991600 | PnL: -0.60% | Momentum: neutral | SL: $0.009816
5:37:37 PM | Punch: $0.00991200 | PnL: -0.64% | Momentum: neutral | SL: $0.009816
5:37:42 PM | Punch: $0.00991200 | PnL: -0.64% | Momentum: neutral | SL: $0.009816
5:37:47 PM | Punch: $0.00991200 | PnL: -0.64% | Momentum: neutral | SL: $0.009816
5:37:52 PM | Punch: $0.00991200 | PnL: -0.64% | Momentum: neutral | SL: $0.009816
5:37:57 PM | Punch: $0.00991200 | PnL: -0.64% | Momentum: neutral | SL: $0.009816
5:38:02 PM | Punch: $0.00991900 | PnL: -0.57% | Momentum: neutral | SL: $0.009816
5:38:07 PM | Punch: $0.00991200 | PnL: -0.64% | Momentum: neutral | SL: $0.009816
5:38:12 PM | Punch: $0.00991900 | PnL: -0.57% | Momentum: neutral | SL: $0.009816
5:38:17 PM | Punch: $0.00991200 | PnL: -0.64% | Momentum: neutral | SL: $0.009816
5:38:22 PM | Punch: $0.00991900 | PnL: -0.57% | Momentum: neutral | SL: $0.009816
5:38:27 PM | Punch: $0.00991900 | PnL: -0.57% | Momentum: neutral | SL: $0.009816
5:38:33 PM | Punch: $0.00991900 | PnL: -0.57% | Momentum: neutral | SL: $0.009816
5:38:38 PM | Punch: $0.00993800 | PnL: -0.38% | Momentum: neutral | SL: $0.009816
5:38:43 PM | Punch: $0.00993800 | PnL: -0.38% | Momentum: neutral | SL: $0.009816
