Wallet loaded: EpG25pVadj
🟢 ATLAS Multi-Position Monitor v5 - WITH CONFIRMATION WINDOW
10:43:34 PM | ATLAS-1: $0.0001982 | PnL: -1.88%
10:46:52 PM | ATLAS-2: $0.0001982 | PnL: +3.23%
10:46:52 PM | ATLAS-3: $0.0001982 | PnL: +1.64%
10:46:52 PM | ATLAS-4: $0.0001982 | PnL: +0.10%
10:47:08 PM | ATLAS-1: $0.0001982 | PnL: -1.88%
10:47:08 PM | ATLAS-2: $0.0001982 | PnL: +3.23%
10:47:08 PM | ATLAS-3: $0.0001982 | PnL: +1.64%
10:47:08 PM | ATLAS-4: $0.0001982 | PnL: +0.10%
10:47:23 PM | ATLAS-1: $0.0001982 | PnL: -1.88%
10:47:23 PM | ATLAS-2: $0.0001982 | PnL: +3.23%
10:47:23 PM | ATLAS-3: $0.0001982 | PnL: +1.64%
10:47:23 PM | ATLAS-4: $0.0001982 | PnL: +0.10%
10:47:38 PM | ATLAS-1: $0.0001982 | PnL: -1.88%
10:47:38 PM | ATLAS-2: $0.0001982 | PnL: +3.23%
10:47:38 PM | ATLAS-3: $0.0001982 | PnL: +1.64%
10:47:38 PM | ATLAS-4: $0.0001982 | PnL: +0.10%
10:47:53 PM | ATLAS-1: $0.0001982 | PnL: -1.88%
10:47:53 PM | ATLAS-2: $0.0001982 | PnL: +3.23%
10:47:53 PM | ATLAS-3: $0.0001982 | PnL: +1.64%
10:47:53 PM | ATLAS-4: $0.0001982 | PnL: +0.10%
10:48:08 PM | ATLAS-1: $0.0001982 | PnL: -1.88%
10:48:08 PM | ATLAS-2: $0.0001982 | PnL: +3.23%
10:48:08 PM | ATLAS-3: $0.0001982 | PnL: +1.64%
10:48:08 PM | ATLAS-4: $0.0001982 | PnL: +0.10%
10:48:23 PM | ATLAS-1: $0.0001982 | PnL: -1.88%
10:48:23 PM | ATLAS-2: $0.0001982 | PnL: +3.23%
10:48:23 PM | ATLAS-3: $0.0001982 | PnL: +1.64%
10:48:23 PM | ATLAS-4: $0.0001982 | PnL: +0.10%
10:48:39 PM | ATLAS-1: $0.0001982 | PnL: -1.88%
10:48:39 PM | ATLAS-2: $0.0001982 | PnL: +3.23%
10:48:39 PM | ATLAS-3: $0.0001982 | PnL: +1.64%
10:48:39 PM | ATLAS-4: $0.0001982 | PnL: +0.10%
10:48:54 PM | ATLAS-1: $0.0001982 | PnL: -1.88%
10:48:54 PM | ATLAS-2: $0.0001982 | PnL: +3.23%
10:48:54 PM | ATLAS-3: $0.0001982 | PnL: +1.64%
10:48:54 PM | ATLAS-4: $0.0001982 | PnL: +0.10%
10:49:09 PM | ATLAS-1: $0.0001982 | PnL: -1.88%
10:49:09 PM | ATLAS-2: $0.0001982 | PnL: +3.23%
10:49:09 PM | ATLAS-3: $0.0001982 | PnL: +1.64%
10:49:09 PM | ATLAS-4: $0.0001982 | PnL: +0.10%
10:49:24 PM | ATLAS-1: $0.0001982 | PnL: -1.88%
10:49:24 PM | ATLAS-2: $0.0001982 | PnL: +3.23%
10:49:24 PM | ATLAS-3: $0.0001982 | PnL: +1.64%
10:49:24 PM | ATLAS-4: $0.0001982 | PnL: +0.10%
10:49:39 PM | ATLAS-1: $0.0001982 | PnL: -1.88%
10:49:39 PM | ATLAS-2: $0.0001982 | PnL: +3.23%
10:49:39 PM | ATLAS-3: $0.0001982 | PnL: +1.64%
10:49:39 PM | ATLAS-4: $0.0001982 | PnL: +0.10%
10:49:54 PM | ATLAS-1: $0.0001982 | PnL: -1.88%
10:49:54 PM | ATLAS-2: $0.0001982 | PnL: +3.23%
10:49:54 PM | ATLAS-3: $0.0001982 | PnL: +1.64%
10:49:54 PM | ATLAS-4: $0.0001982 | PnL: +0.10%
10:50:09 PM | ATLAS-1: $0.0001982 | PnL: -1.88%
10:50:09 PM | ATLAS-2: $0.0001982 | PnL: +3.23%
10:50:09 PM | ATLAS-3: $0.0001982 | PnL: +1.64%
10:50:09 PM | ATLAS-4: $0.0001982 | PnL: +0.10%
10:50:25 PM | ATLAS-1: $0.0001982 | PnL: -1.88%
10:50:25 PM | ATLAS-2: $0.0001982 | PnL: +3.23%
10:50:25 PM | ATLAS-3: $0.0001982 | PnL: +1.64%
10:50:25 PM | ATLAS-4: $0.0001982 | PnL: +0.10%
10:50:40 PM | ATLAS-1: $0.0001982 | PnL: -1.88%
10:50:40 PM | ATLAS-2: $0.0001982 | PnL: +3.23%
10:50:40 PM | ATLAS-3: $0.0001982 | PnL: +1.64%
10:50:40 PM | ATLAS-4: $0.0001982 | PnL: +0.10%
10:50:55 PM | ATLAS-1: $0.0001982 | PnL: -1.88%
10:50:55 PM | ATLAS-2: $0.0001982 | PnL: +3.23%
10:50:55 PM | ATLAS-3: $0.0001982 | PnL: +1.64%
10:50:55 PM | ATLAS-4: $0.0001982 | PnL: +0.10%
10:51:11 PM | ATLAS-1: $0.0001982 | PnL: -1.88%
10:51:11 PM | ATLAS-2: $0.0001982 | PnL: +3.23%
10:51:11 PM | ATLAS-3: $0.0001982 | PnL: +1.64%
10:51:11 PM | ATLAS-4: $0.0001982 | PnL: +0.10%
10:51:26 PM | ATLAS-1: $0.0001982 | PnL: -1.88%
10:51:26 PM | ATLAS-2: $0.0001982 | PnL: +3.23%
10:51:26 PM | ATLAS-3: $0.0001982 | PnL: +1.64%
10:51:26 PM | ATLAS-4: $0.0001982 | PnL: +0.10%
10:51:41 PM | ATLAS-1: $0.0001982 | PnL: -1.88%
10:51:41 PM | ATLAS-2: $0.0001982 | PnL: +3.23%
10:51:41 PM | ATLAS-3: $0.0001982 | PnL: +1.64%
10:51:41 PM | ATLAS-4: $0.0001982 | PnL: +0.10%
10:51:56 PM | ATLAS-1: $0.0001992 | PnL: -1.39%
10:51:56 PM | ATLAS-2: $0.0001992 | PnL: +3.75%
10:51:56 PM | ATLAS-3: $0.0001992 | PnL: +2.15%
10:51:56 PM | ATLAS-4: $0.0001992 | PnL: +0.61%
10:52:11 PM | ATLAS-1: $0.0001992 | PnL: -1.39%
10:52:11 PM | ATLAS-2: $0.0001992 | PnL: +3.75%
10:52:11 PM | ATLAS-3: $0.0001992 | PnL: +2.15%
10:52:11 PM | ATLAS-4: $0.0001992 | PnL: +0.61%
10:52:26 PM | ATLAS-1: $0.0001992 | PnL: -1.39%
10:52:26 PM | ATLAS-2: $0.0001992 | PnL: +3.75%
10:52:26 PM | ATLAS-3: $0.0001992 | PnL: +2.15%
10:52:26 PM | ATLAS-4: $0.0001992 | PnL: +0.61%
10:52:42 PM | ATLAS-1: $0.0001992 | PnL: -1.39%
10:52:42 PM | ATLAS-2: $0.0001992 | PnL: +3.75%
10:52:42 PM | ATLAS-3: $0.0001992 | PnL: +2.15%
10:52:42 PM | ATLAS-4: $0.0001992 | PnL: +0.61%
10:52:57 PM | ATLAS-1: $0.0001992 | PnL: -1.39%
10:52:57 PM | ATLAS-2: $0.0001992 | PnL: +3.75%
10:52:57 PM | ATLAS-3: $0.0001992 | PnL: +2.15%
10:52:57 PM | ATLAS-4: $0.0001992 | PnL: +0.61%
10:53:12 PM | ATLAS-1: $0.0001992 | PnL: -1.39%
10:53:12 PM | ATLAS-2: $0.0001992 | PnL: +3.75%
10:53:12 PM | ATLAS-3: $0.0001992 | PnL: +2.15%
10:53:12 PM | ATLAS-4: $0.0001992 | PnL: +0.61%
10:53:27 PM | ATLAS-1: $0.0001992 | PnL: -1.39%
10:53:27 PM | ATLAS-2: $0.0001992 | PnL: +3.75%
10:53:27 PM | ATLAS-3: $0.0001992 | PnL: +2.15%
10:53:27 PM | ATLAS-4: $0.0001992 | PnL: +0.61%
10:53:42 PM | ATLAS-1: $0.0001992 | PnL: -1.39%
10:53:42 PM | ATLAS-2: $0.0001992 | PnL: +3.75%
10:53:42 PM | ATLAS-3: $0.0001992 | PnL: +2.15%
10:53:42 PM | ATLAS-4: $0.0001992 | PnL: +0.61%
10:53:57 PM | ATLAS-1: $0.0001992 | PnL: -1.39%
10:53:57 PM | ATLAS-2: $0.0001992 | PnL: +3.75%
10:53:57 PM | ATLAS-3: $0.0001992 | PnL: +2.15%
10:53:57 PM | ATLAS-4: $0.0001992 | PnL: +0.61%
10:54:13 PM | ATLAS-1: $0.0001992 | PnL: -1.39%
10:54:13 PM | ATLAS-2: $0.0001992 | PnL: +3.75%
10:54:13 PM | ATLAS-3: $0.0001992 | PnL: +2.15%
10:54:13 PM | ATLAS-4: $0.0001992 | PnL: +0.61%
10:54:28 PM | ATLAS-1: $0.0001992 | PnL: -1.39%
10:54:28 PM | ATLAS-2: $0.0001992 | PnL: +3.75%
10:54:28 PM | ATLAS-3: $0.0001992 | PnL: +2.15%
10:54:28 PM | ATLAS-4: $0.0001992 | PnL: +0.61%
10:54:43 PM | ATLAS-1: $0.0001992 | PnL: -1.39%
10:54:43 PM | ATLAS-2: $0.0001992 | PnL: +3.75%
10:54:43 PM | ATLAS-3: $0.0001992 | PnL: +2.15%
10:54:43 PM | ATLAS-4: $0.0001992 | PnL: +0.61%
10:54:58 PM | ATLAS-1: $0.0001992 | PnL: -1.39%
10:54:58 PM | ATLAS-2: $0.0001992 | PnL: +3.75%
10:54:58 PM | ATLAS-3: $0.0001992 | PnL: +2.15%
10:54:58 PM | ATLAS-4: $0.0001992 | PnL: +0.61%
10:55:14 PM | ATLAS-1: $0.0001992 | PnL: -1.39%
10:55:14 PM | ATLAS-2: $0.0001992 | PnL: +3.75%
10:55:14 PM | ATLAS-3: $0.0001992 | PnL: +2.15%
10:55:14 PM | ATLAS-4: $0.0001992 | PnL: +0.61%
10:55:29 PM | ATLAS-1: $0.0001992 | PnL: -1.39%
10:55:29 PM | ATLAS-2: $0.0001992 | PnL: +3.75%
10:55:29 PM | ATLAS-3: $0.0001992 | PnL: +2.15%
10:55:29 PM | ATLAS-4: $0.0001992 | PnL: +0.61%
10:55:44 PM | ATLAS-1: $0.0001992 | PnL: -1.39%
10:55:44 PM | ATLAS-2: $0.0001992 | PnL: +3.75%
10:55:44 PM | ATLAS-3: $0.0001992 | PnL: +2.15%
10:55:44 PM | ATLAS-4: $0.0001992 | PnL: +0.61%
10:55:59 PM | ATLAS-1: $0.0001992 | PnL: -1.39%
10:55:59 PM | ATLAS-2: $0.0001992 | PnL: +3.75%
10:55:59 PM | ATLAS-3: $0.0001992 | PnL: +2.15%
10:55:59 PM | ATLAS-4: $0.0001992 | PnL: +0.61%
10:56:15 PM | ATLAS-1: $0.0001992 | PnL: -1.39%
10:56:15 PM | ATLAS-2: $0.0001992 | PnL: +3.75%
10:56:15 PM | ATLAS-3: $0.0001992 | PnL: +2.15%
10:56:15 PM | ATLAS-4: $0.0001992 | PnL: +0.61%
10:56:30 PM | ATLAS-1: $0.0001992 | PnL: -1.39%
10:56:30 PM | ATLAS-2: $0.0001992 | PnL: +3.75%
10:56:30 PM | ATLAS-3: $0.0001992 | PnL: +2.15%
10:56:30 PM | ATLAS-4: $0.0001992 | PnL: +0.61%
10:56:45 PM | ATLAS-1: $0.0001992 | PnL: -1.39%
10:56:45 PM | ATLAS-2: $0.0001992 | PnL: +3.75%
10:56:45 PM | ATLAS-3: $0.0001992 | PnL: +2.15%
10:56:45 PM | ATLAS-4: $0.0001992 | PnL: +0.61%
10:57:01 PM | ATLAS-1: $0.0002003 | PnL: -0.84%
10:57:01 PM | ATLAS-2: $0.0002003 | PnL: +4.32%
   ⚠️ ATLAS-2 TP1 detected - waiting confirmation (15s)...
10:57:01 PM | ATLAS-3: $0.0002003 | PnL: +2.72%
10:57:01 PM | ATLAS-4: $0.0002003 | PnL: +1.16%
10:57:16 PM | ATLAS-1: $0.0002003 | PnL: -0.84%
10:57:16 PM | ATLAS-2: $0.0002003 | PnL: +4.32%
   ✅ ATLAS-2 TP1 CONFIRMED - executing...
   Attempting to sell 3125 ATLAS (50%, slippage: 35%)
   📋 Quote: 7392715 lamports
   ❌ Error: Simulation failed. 
Message: Transaction simulation failed: Error processing Instruction 3: custom program error: 0x1788. 
Logs: 
[
  "Program TokenkegQfeZyiNwAJbNbGKPFXCWuBvf9Ss623VQ5DA invoke [2]",
  "Program log: Instruction: InitializeAccount3",
  "Program TokenkegQfeZyiNwAJbNbGKPFXCWuBvf9Ss623VQ5DA consumed 3158 of 1383826 compute units",
  "Program TokenkegQfeZyiNwAJbNbGKPFXCWuBvf9Ss623VQ5DA success",
  "Program ATokenGPvbdGVxr1b2hvZbsiqW5xWH25efTNsLJA8knL consumed 19315 of 1399700 compute units",
  "Program ATokenGPvbdGVxr1b2hvZbsiqW5xWH25efTNsLJA8knL success",
  "Program JUP6LkbZbjS1jKKwapdHNy74zcZ3tLUZoi5QNyVTaV4 invoke [1]",
  "Program log: Instruction: SharedAccountsRoute",
  "Program JUP6LkbZbjS1jKKwapdHNy74zcZ3tLUZoi5QNyVTaV4 consumed 2304 of 1380385 compute units",
  "Program JUP6LkbZbjS1jKKwapdHNy74zcZ3tLUZoi5QNyVTaV4 failed: custom program error: 0x1788"
]. 
Catch the `SendTransactionError` and call `getLogs()` on it for full details.
   🔄 Retrying (1/3)...
   Attempting to sell 3125 ATLAS (50%, slippage: 35%)
   📋 Quote: 7393356 lamports
   ❌ Error: Simulation failed. 
Message: Transaction simulation failed: Error processing Instruction 3: custom program error: 0x1788. 
Logs: 
[
  "Program TokenkegQfeZyiNwAJbNbGKPFXCWuBvf9Ss623VQ5DA invoke [2]",
  "Program log: Instruction: InitializeAccount3",
  "Program TokenkegQfeZyiNwAJbNbGKPFXCWuBvf9Ss623VQ5DA consumed 3158 of 1383826 compute units",
  "Program TokenkegQfeZyiNwAJbNbGKPFXCWuBvf9Ss623VQ5DA success",
  "Program ATokenGPvbdGVxr1b2hvZbsiqW5xWH25efTNsLJA8knL consumed 19315 of 1399700 compute units",
  "Program ATokenGPvbdGVxr1b2hvZbsiqW5xWH25efTNsLJA8knL success",
  "Program JUP6LkbZbjS1jKKwapdHNy74zcZ3tLUZoi5QNyVTaV4 invoke [1]",
  "Program log: Instruction: SharedAccountsRoute",
  "Program JUP6LkbZbjS1jKKwapdHNy74zcZ3tLUZoi5QNyVTaV4 consumed 2304 of 1380385 compute units",
  "Program JUP6LkbZbjS1jKKwapdHNy74zcZ3tLUZoi5QNyVTaV4 failed: custom program error: 0x1788"
]. 
Catch the `SendTransactionError` and call `getLogs()` on it for full details.
   🔄 Retrying (2/3)...
   Attempting to sell 3125 ATLAS (50%, slippage: 35%)
   📋 Quote: 7393356 lamports
   ❌ Error: Simulation failed. 
Message: Transaction simulation failed: Error processing Instruction 3: custom program error: 0x1788. 
Logs: 
[
  "Program TokenkegQfeZyiNwAJbNbGKPFXCWuBvf9Ss623VQ5DA invoke [2]",
  "Program log: Instruction: InitializeAccount3",
  "Program TokenkegQfeZyiNwAJbNbGKPFXCWuBvf9Ss623VQ5DA consumed 3158 of 1383826 compute units",
  "Program TokenkegQfeZyiNwAJbNbGKPFXCWuBvf9Ss623VQ5DA success",
  "Program ATokenGPvbdGVxr1b2hvZbsiqW5xWH25efTNsLJA8knL consumed 19315 of 1399700 compute units",
  "Program ATokenGPvbdGVxr1b2hvZbsiqW5xWH25efTNsLJA8knL success",
  "Program JUP6LkbZbjS1jKKwapdHNy74zcZ3tLUZoi5QNyVTaV4 invoke [1]",
  "Program log: Instruction: SharedAccountsRoute",
  "Program JUP6LkbZbjS1jKKwapdHNy74zcZ3tLUZoi5QNyVTaV4 consumed 2304 of 1380385 compute units",
  "Program JUP6LkbZbjS1jKKwapdHNy74zcZ3tLUZoi5QNyVTaV4 failed: custom program error: 0x1788"
]. 
Catch the `SendTransactionError` and call `getLogs()` on it for full details.
   🔄 Retrying (3/3)...
   Attempting to sell 3125 ATLAS (50%, slippage: 35%)
   📋 Quote: 7393354 lamports
   ❌ Error: Simulation failed. 
Message: Transaction simulation failed: Error processing Instruction 3: custom program error: 0x1788. 
Logs: 
[
  "Program TokenkegQfeZyiNwAJbNbGKPFXCWuBvf9Ss623VQ5DA invoke [2]",
  "Program log: Instruction: InitializeAccount3",
  "Program TokenkegQfeZyiNwAJbNbGKPFXCWuBvf9Ss623VQ5DA consumed 3158 of 1383826 compute units",
  "Program TokenkegQfeZyiNwAJbNbGKPFXCWuBvf9Ss623VQ5DA success",
  "Program ATokenGPvbdGVxr1b2hvZbsiqW5xWH25efTNsLJA8knL consumed 19315 of 1399700 compute units",
  "Program ATokenGPvbdGVxr1b2hvZbsiqW5xWH25efTNsLJA8knL success",
  "Program JUP6LkbZbjS1jKKwapdHNy74zcZ3tLUZoi5QNyVTaV4 invoke [1]",
  "Program log: Instruction: SharedAccountsRoute",
  "Program JUP6LkbZbjS1jKKwapdHNy74zcZ3tLUZoi5QNyVTaV4 consumed 2304 of 1380385 compute units",
  "Program JUP6LkbZbjS1jKKwapdHNy74zcZ3tLUZoi5QNyVTaV4 failed: custom program error: 0x1788"
]. 
Catch the `SendTransactionError` and call `getLogs()` on it for full details.
10:57:30 PM | ATLAS-3: $0.0002003 | PnL: +2.72%
10:57:30 PM | ATLAS-4: $0.0002003 | PnL: +1.16%
10:57:45 PM | ATLAS-1: $0.0002003 | PnL: -0.84%
10:57:45 PM | ATLAS-2: $0.0002003 | PnL: +4.32%
   ⚠️ ATLAS-2 TP1 detected - waiting confirmation (15s)...
10:57:45 PM | ATLAS-3: $0.0002003 | PnL: +2.72%
10:57:45 PM | ATLAS-4: $0.0002003 | PnL: +1.16%
10:58:01 PM | ATLAS-1: $0.0002003 | PnL: -0.84%
10:58:01 PM | ATLAS-2: $0.0002003 | PnL: +4.32%
   ✅ ATLAS-2 TP1 CONFIRMED - executing...
   Attempting to sell 3125 ATLAS (50%, slippage: 35%)
   📋 Quote: 7392940 lamports
   ❌ Error: Simulation failed. 
Message: Transaction simulation failed: Error processing Instruction 3: custom program error: 0x1788. 
Logs: 
[
  "Program TokenkegQfeZyiNwAJbNbGKPFXCWuBvf9Ss623VQ5DA invoke [2]",
  "Program log: Instruction: InitializeAccount3",
  "Program TokenkegQfeZyiNwAJbNbGKPFXCWuBvf9Ss623VQ5DA consumed 3158 of 1383826 compute units",
  "Program TokenkegQfeZyiNwAJbNbGKPFXCWuBvf9Ss623VQ5DA success",
  "Program ATokenGPvbdGVxr1b2hvZbsiqW5xWH25efTNsLJA8knL consumed 19315 of 1399700 compute units",
  "Program ATokenGPvbdGVxr1b2hvZbsiqW5xWH25efTNsLJA8knL success",
  "Program JUP6LkbZbjS1jKKwapdHNy74zcZ3tLUZoi5QNyVTaV4 invoke [1]",
  "Program log: Instruction: SharedAccountsRoute",
  "Program JUP6LkbZbjS1jKKwapdHNy74zcZ3tLUZoi5QNyVTaV4 consumed 2304 of 1380385 compute units",
  "Program JUP6LkbZbjS1jKKwapdHNy74zcZ3tLUZoi5QNyVTaV4 failed: custom program error: 0x1788"
]. 
Catch the `SendTransactionError` and call `getLogs()` on it for full details.
   🔄 Retrying (1/3)...
   Attempting to sell 3125 ATLAS (50%, slippage: 35%)
   📋 Quote: 7392938 lamports
   ❌ Error: Simulation failed. 
Message: Transaction simulation failed: Error processing Instruction 3: custom program error: 0x1788. 
Logs: 
[
  "Program TokenkegQfeZyiNwAJbNbGKPFXCWuBvf9Ss623VQ5DA invoke [2]",
  "Program log: Instruction: InitializeAccount3",
  "Program TokenkegQfeZyiNwAJbNbGKPFXCWuBvf9Ss623VQ5DA consumed 3158 of 1383826 compute units",
  "Program TokenkegQfeZyiNwAJbNbGKPFXCWuBvf9Ss623VQ5DA success",
  "Program ATokenGPvbdGVxr1b2hvZbsiqW5xWH25efTNsLJA8knL consumed 19315 of 1399700 compute units",
  "Program ATokenGPvbdGVxr1b2hvZbsiqW5xWH25efTNsLJA8knL success",
  "Program JUP6LkbZbjS1jKKwapdHNy74zcZ3tLUZoi5QNyVTaV4 invoke [1]",
  "Program log: Instruction: SharedAccountsRoute",
  "Program JUP6LkbZbjS1jKKwapdHNy74zcZ3tLUZoi5QNyVTaV4 consumed 2304 of 1380385 compute units",
  "Program JUP6LkbZbjS1jKKwapdHNy74zcZ3tLUZoi5QNyVTaV4 failed: custom program error: 0x1788"
]. 
Catch the `SendTransactionError` and call `getLogs()` on it for full details.
   🔄 Retrying (2/3)...
   Attempting to sell 3125 ATLAS (50%, slippage: 35%)
   📋 Quote: 7398764 lamports
   ❌ Error: Simulation failed. 
Message: Transaction simulation failed: Error processing Instruction 3: custom program error: 0x1788. 
Logs: 
[
  "Program TokenkegQfeZyiNwAJbNbGKPFXCWuBvf9Ss623VQ5DA invoke [2]",
  "Program log: Instruction: InitializeAccount3",
  "Program TokenkegQfeZyiNwAJbNbGKPFXCWuBvf9Ss623VQ5DA consumed 3158 of 1383826 compute units",
  "Program TokenkegQfeZyiNwAJbNbGKPFXCWuBvf9Ss623VQ5DA success",
  "Program ATokenGPvbdGVxr1b2hvZbsiqW5xWH25efTNsLJA8knL consumed 19315 of 1399700 compute units",
  "Program ATokenGPvbdGVxr1b2hvZbsiqW5xWH25efTNsLJA8knL success",
  "Program JUP6LkbZbjS1jKKwapdHNy74zcZ3tLUZoi5QNyVTaV4 invoke [1]",
  "Program log: Instruction: SharedAccountsRoute",
  "Program JUP6LkbZbjS1jKKwapdHNy74zcZ3tLUZoi5QNyVTaV4 consumed 2304 of 1380385 compute units",
  "Program JUP6LkbZbjS1jKKwapdHNy74zcZ3tLUZoi5QNyVTaV4 failed: custom program error: 0x1788"
]. 
Catch the `SendTransactionError` and call `getLogs()` on it for full details.
   🔄 Retrying (3/3)...
   Attempting to sell 3125 ATLAS (50%, slippage: 35%)
   📋 Quote: 7397536 lamports
   ❌ Error: Simulation failed. 
Message: Transaction simulation failed: Error processing Instruction 3: custom program error: 0x1788. 
Logs: 
[
  "Program TokenkegQfeZyiNwAJbNbGKPFXCWuBvf9Ss623VQ5DA invoke [2]",
  "Program log: Instruction: InitializeAccount3",
  "Program TokenkegQfeZyiNwAJbNbGKPFXCWuBvf9Ss623VQ5DA consumed 3158 of 1383826 compute units",
  "Program TokenkegQfeZyiNwAJbNbGKPFXCWuBvf9Ss623VQ5DA success",
  "Program ATokenGPvbdGVxr1b2hvZbsiqW5xWH25efTNsLJA8knL consumed 19315 of 1399700 compute units",
  "Program ATokenGPvbdGVxr1b2hvZbsiqW5xWH25efTNsLJA8knL success",
  "Program JUP6LkbZbjS1jKKwapdHNy74zcZ3tLUZoi5QNyVTaV4 invoke [1]",
  "Program log: Instruction: SharedAccountsRoute",
  "Program JUP6LkbZbjS1jKKwapdHNy74zcZ3tLUZoi5QNyVTaV4 consumed 2304 of 1380385 compute units",
  "Program JUP6LkbZbjS1jKKwapdHNy74zcZ3tLUZoi5QNyVTaV4 failed: custom program error: 0x1788"
]. 
Catch the `SendTransactionError` and call `getLogs()` on it for full details.
10:58:15 PM | ATLAS-3: $0.0002003 | PnL: +2.72%
10:58:15 PM | ATLAS-4: $0.0002003 | PnL: +1.16%
10:58:31 PM | ATLAS-1: $0.0002002 | PnL: -0.89%
10:58:31 PM | ATLAS-2: $0.0002002 | PnL: +4.27%
   ⚠️ ATLAS-2 TP1 detected - waiting confirmation (15s)...
10:58:31 PM | ATLAS-3: $0.0002002 | PnL: +2.67%
10:58:31 PM | ATLAS-4: $0.0002002 | PnL: +1.11%
10:58:46 PM | ATLAS-1: $0.0002002 | PnL: -0.89%
10:58:46 PM | ATLAS-2: $0.0002002 | PnL: +4.27%
   ✅ ATLAS-2 TP1 CONFIRMED - executing...
   Attempting to sell 3125 ATLAS (50%, slippage: 35%)
   📋 Quote: 7395629 lamports
   ❌ Error: Simulation failed. 
Message: Transaction simulation failed: Error processing Instruction 3: custom program error: 0x1788. 
Logs: 
[
  "Program TokenkegQfeZyiNwAJbNbGKPFXCWuBvf9Ss623VQ5DA invoke [2]",
  "Program log: Instruction: InitializeAccount3",
  "Program TokenkegQfeZyiNwAJbNbGKPFXCWuBvf9Ss623VQ5DA consumed 3158 of 1383826 compute units",
