Wallet loaded: EpG25pVadjQ9M9NHJMXZ...
📊 Monitoring WIF (6 HOURS MAX HOLD)...
  Entry: $0.22960000
  SL: $0.22592640
  TP1: $0.23786560
  TP2: $0.24199840
  Max Hold: 6 HOURS
8:50:16 PM | WIF: $0.22620000 | PnL: -1.48% | Hold: 5h 59m left
8:54:28 PM | WIF: $0.22640000 | PnL: -1.39% | Hold: 5h 55m left
8:54:33 PM | WIF: $0.22640000 | PnL: -1.39% | Hold: 5h 55m left
8:54:38 PM | WIF: $0.22640000 | PnL: -1.39% | Hold: 5h 55m left
8:54:44 PM | WIF: $0.22640000 | PnL: -1.39% | Hold: 5h 55m left
8:54:49 PM | WIF: $0.22640000 | PnL: -1.39% | Hold: 5h 55m left
8:54:54 PM | WIF: $0.22640000 | PnL: -1.39% | Hold: 5h 55m left
8:54:59 PM | WIF: $0.22640000 | PnL: -1.39% | Hold: 5h 55m left
8:55:04 PM | WIF: $0.22640000 | PnL: -1.39% | Hold: 5h 55m left
8:55:09 PM | WIF: $0.22640000 | PnL: -1.39% | Hold: 5h 55m left
8:55:15 PM | WIF: $0.22640000 | PnL: -1.39% | Hold: 5h 55m left
8:55:20 PM | WIF: $0.22640000 | PnL: -1.39% | Hold: 5h 54m left
8:55:25 PM | WIF: $0.22640000 | PnL: -1.39% | Hold: 5h 54m left
8:55:30 PM | WIF: $0.22640000 | PnL: -1.39% | Hold: 5h 54m left
8:55:35 PM | WIF: $0.22640000 | PnL: -1.39% | Hold: 5h 54m left
8:55:40 PM | WIF: $0.22640000 | PnL: -1.39% | Hold: 5h 54m left
8:55:45 PM | WIF: $0.22640000 | PnL: -1.39% | Hold: 5h 54m left
8:55:51 PM | WIF: $0.22640000 | PnL: -1.39% | Hold: 5h 54m left
8:55:56 PM | WIF: $0.22640000 | PnL: -1.39% | Hold: 5h 54m left
8:56:01 PM | WIF: $0.22640000 | PnL: -1.39% | Hold: 5h 54m left
8:56:06 PM | WIF: $0.22640000 | PnL: -1.39% | Hold: 5h 54m left
8:56:11 PM | WIF: $0.22640000 | PnL: -1.39% | Hold: 5h 54m left
8:56:16 PM | WIF: $0.22640000 | PnL: -1.39% | Hold: 5h 53m left
8:56:21 PM | WIF: $0.22640000 | PnL: -1.39% | Hold: 5h 53m left
8:56:26 PM | WIF: $0.22640000 | PnL: -1.39% | Hold: 5h 53m left
8:56:31 PM | WIF: $0.22640000 | PnL: -1.39% | Hold: 5h 53m left
8:56:37 PM | WIF: $0.22640000 | PnL: -1.39% | Hold: 5h 53m left
8:56:42 PM | WIF: $0.22640000 | PnL: -1.39% | Hold: 5h 53m left
8:56:47 PM | WIF: $0.22640000 | PnL: -1.39% | Hold: 5h 53m left
8:56:52 PM | WIF: $0.22640000 | PnL: -1.39% | Hold: 5h 53m left
8:56:57 PM | WIF: $0.22640000 | PnL: -1.39% | Hold: 5h 53m left
8:57:02 PM | WIF: $0.22640000 | PnL: -1.39% | Hold: 5h 53m left
8:57:07 PM | WIF: $0.22640000 | PnL: -1.39% | Hold: 5h 53m left
8:57:13 PM | WIF: $0.22640000 | PnL: -1.39% | Hold: 5h 53m left
8:57:18 PM | WIF: $0.22640000 | PnL: -1.39% | Hold: 5h 52m left
8:57:23 PM | WIF: $0.22640000 | PnL: -1.39% | Hold: 5h 52m left
8:57:28 PM | WIF: $0.22640000 | PnL: -1.39% | Hold: 5h 52m left
8:57:33 PM | WIF: $0.22640000 | PnL: -1.39% | Hold: 5h 52m left
8:57:38 PM | WIF: $0.22640000 | PnL: -1.39% | Hold: 5h 52m left
8:57:43 PM | WIF: $0.22640000 | PnL: -1.39% | Hold: 5h 52m left
8:57:48 PM | WIF: $0.22640000 | PnL: -1.39% | Hold: 5h 52m left
8:57:54 PM | WIF: $0.22670000 | PnL: -1.26% | Hold: 5h 52m left
8:57:59 PM | WIF: $0.22670000 | PnL: -1.26% | Hold: 5h 52m left
8:58:04 PM | WIF: $0.22670000 | PnL: -1.26% | Hold: 5h 52m left
8:58:09 PM | WIF: $0.22670000 | PnL: -1.26% | Hold: 5h 52m left
8:58:14 PM | WIF: $0.22670000 | PnL: -1.26% | Hold: 5h 52m left
8:58:19 PM | WIF: $0.22670000 | PnL: -1.26% | Hold: 5h 51m left
8:58:24 PM | WIF: $0.22670000 | PnL: -1.26% | Hold: 5h 51m left
8:58:30 PM | WIF: $0.22640000 | PnL: -1.39% | Hold: 5h 51m left
8:58:35 PM | WIF: $0.22640000 | PnL: -1.39% | Hold: 5h 51m left
8:58:40 PM | WIF: $0.22640000 | PnL: -1.39% | Hold: 5h 51m left
8:58:46 PM | WIF: $0.22640000 | PnL: -1.39% | Hold: 5h 51m left
8:58:51 PM | WIF: $0.22640000 | PnL: -1.39% | Hold: 5h 51m left
8:58:56 PM | WIF: $0.22640000 | PnL: -1.39% | Hold: 5h 51m left
8:59:01 PM | WIF: $0.22650000 | PnL: -1.35% | Hold: 5h 51m left
8:59:06 PM | WIF: $0.22650000 | PnL: -1.35% | Hold: 5h 51m left
8:59:11 PM | WIF: $0.22650000 | PnL: -1.35% | Hold: 5h 51m left
8:59:16 PM | WIF: $0.22650000 | PnL: -1.35% | Hold: 5h 50m left
8:59:21 PM | WIF: $0.22650000 | PnL: -1.35% | Hold: 5h 50m left
8:59:26 PM | WIF: $0.22650000 | PnL: -1.35% | Hold: 5h 50m left
8:59:32 PM | WIF: $0.22700000 | PnL: -1.13% | Hold: 5h 50m left
8:59:37 PM | WIF: $0.22700000 | PnL: -1.13% | Hold: 5h 50m left
8:59:42 PM | WIF: $0.22700000 | PnL: -1.13% | Hold: 5h 50m left
8:59:47 PM | WIF: $0.22700000 | PnL: -1.13% | Hold: 5h 50m left
8:59:52 PM | WIF: $0.22700000 | PnL: -1.13% | Hold: 5h 50m left
8:59:57 PM | WIF: $0.22700000 | PnL: -1.13% | Hold: 5h 50m left
9:00:02 PM | WIF: $0.22700000 | PnL: -1.13% | Hold: 5h 50m left
9:00:07 PM | WIF: $0.22700000 | PnL: -1.13% | Hold: 5h 50m left
9:00:12 PM | WIF: $0.22700000 | PnL: -1.13% | Hold: 5h 50m left
9:00:17 PM | WIF: $0.22700000 | PnL: -1.13% | Hold: 5h 49m left
9:00:22 PM | WIF: $0.22700000 | PnL: -1.13% | Hold: 5h 49m left
9:00:28 PM | WIF: $0.22700000 | PnL: -1.13% | Hold: 5h 49m left
9:00:33 PM | WIF: $0.22700000 | PnL: -1.13% | Hold: 5h 49m left
9:00:38 PM | WIF: $0.22700000 | PnL: -1.13% | Hold: 5h 49m left
9:00:43 PM | WIF: $0.22700000 | PnL: -1.13% | Hold: 5h 49m left
9:00:48 PM | WIF: $0.22700000 | PnL: -1.13% | Hold: 5h 49m left
9:00:53 PM | WIF: $0.22700000 | PnL: -1.13% | Hold: 5h 49m left
9:00:58 PM | WIF: $0.22700000 | PnL: -1.13% | Hold: 5h 49m left
9:01:04 PM | WIF: $0.22730000 | PnL: -1.00% | Hold: 5h 49m left
9:01:09 PM | WIF: $0.22730000 | PnL: -1.00% | Hold: 5h 49m left
9:01:14 PM | WIF: $0.22730000 | PnL: -1.00% | Hold: 5h 49m left
9:01:19 PM | WIF: $0.22730000 | PnL: -1.00% | Hold: 5h 48m left
9:01:24 PM | WIF: $0.22730000 | PnL: -1.00% | Hold: 5h 48m left
9:01:29 PM | WIF: $0.22730000 | PnL: -1.00% | Hold: 5h 48m left
9:01:34 PM | WIF: $0.22730000 | PnL: -1.00% | Hold: 5h 48m left
9:01:39 PM | WIF: $0.22700000 | PnL: -1.13% | Hold: 5h 48m left
9:01:44 PM | WIF: $0.22700000 | PnL: -1.13% | Hold: 5h 48m left
9:01:50 PM | WIF: $0.22700000 | PnL: -1.13% | Hold: 5h 48m left
9:01:55 PM | WIF: $0.22700000 | PnL: -1.13% | Hold: 5h 48m left
9:02:00 PM | WIF: $0.22700000 | PnL: -1.13% | Hold: 5h 48m left
9:02:05 PM | WIF: $0.22700000 | PnL: -1.13% | Hold: 5h 48m left
9:02:10 PM | WIF: $0.22670000 | PnL: -1.26% | Hold: 5h 48m left
9:02:15 PM | WIF: $0.22670000 | PnL: -1.26% | Hold: 5h 48m left
9:02:20 PM | WIF: $0.22670000 | PnL: -1.26% | Hold: 5h 47m left
9:02:25 PM | WIF: $0.22670000 | PnL: -1.26% | Hold: 5h 47m left
9:02:30 PM | WIF: $0.22670000 | PnL: -1.26% | Hold: 5h 47m left
9:02:35 PM | WIF: $0.22670000 | PnL: -1.26% | Hold: 5h 47m left
9:02:40 PM | WIF: $0.22670000 | PnL: -1.26% | Hold: 5h 47m left
9:02:46 PM | WIF: $0.22670000 | PnL: -1.26% | Hold: 5h 47m left
9:02:51 PM | WIF: $0.22670000 | PnL: -1.26% | Hold: 5h 47m left
9:02:56 PM | WIF: $0.22670000 | PnL: -1.26% | Hold: 5h 47m left
9:03:01 PM | WIF: $0.22670000 | PnL: -1.26% | Hold: 5h 47m left
9:03:06 PM | WIF: $0.22670000 | PnL: -1.26% | Hold: 5h 47m left
9:03:11 PM | WIF: $0.22670000 | PnL: -1.26% | Hold: 5h 47m left
9:03:16 PM | WIF: $0.22670000 | PnL: -1.26% | Hold: 5h 46m left
9:03:21 PM | WIF: $0.22670000 | PnL: -1.26% | Hold: 5h 46m left
9:03:26 PM | WIF: $0.22670000 | PnL: -1.26% | Hold: 5h 46m left
9:03:31 PM | WIF: $0.22670000 | PnL: -1.26% | Hold: 5h 46m left
9:03:36 PM | WIF: $0.22670000 | PnL: -1.26% | Hold: 5h 46m left
9:03:42 PM | WIF: $0.22670000 | PnL: -1.26% | Hold: 5h 46m left
9:03:47 PM | WIF: $0.22670000 | PnL: -1.26% | Hold: 5h 46m left
9:03:52 PM | WIF: $0.22670000 | PnL: -1.26% | Hold: 5h 46m left
9:03:57 PM | WIF: $0.22670000 | PnL: -1.26% | Hold: 5h 46m left
9:04:02 PM | WIF: $0.22670000 | PnL: -1.26% | Hold: 5h 46m left
9:04:07 PM | WIF: $0.22670000 | PnL: -1.26% | Hold: 5h 46m left
9:04:13 PM | WIF: $0.22680000 | PnL: -1.22% | Hold: 5h 46m left
9:04:18 PM | WIF: $0.22680000 | PnL: -1.22% | Hold: 5h 45m left
9:04:23 PM | WIF: $0.22680000 | PnL: -1.22% | Hold: 5h 45m left
9:04:28 PM | WIF: $0.22680000 | PnL: -1.22% | Hold: 5h 45m left
9:04:33 PM | WIF: $0.22680000 | PnL: -1.22% | Hold: 5h 45m left
9:04:38 PM | WIF: $0.22680000 | PnL: -1.22% | Hold: 5h 45m left
9:04:44 PM | WIF: $0.22690000 | PnL: -1.18% | Hold: 5h 45m left
9:04:49 PM | WIF: $0.22690000 | PnL: -1.18% | Hold: 5h 45m left
9:04:54 PM | WIF: $0.22690000 | PnL: -1.18% | Hold: 5h 45m left
9:04:59 PM | WIF: $0.22690000 | PnL: -1.18% | Hold: 5h 45m left
9:05:04 PM | WIF: $0.22690000 | PnL: -1.18% | Hold: 5h 45m left
9:05:09 PM | WIF: $0.22690000 | PnL: -1.18% | Hold: 5h 45m left
9:05:14 PM | WIF: $0.22690000 | PnL: -1.18% | Hold: 5h 45m left
9:05:19 PM | WIF: $0.22690000 | PnL: -1.18% | Hold: 5h 44m left
9:05:24 PM | WIF: $0.22690000 | PnL: -1.18% | Hold: 5h 44m left
9:05:30 PM | WIF: $0.22690000 | PnL: -1.18% | Hold: 5h 44m left
9:05:35 PM | WIF: $0.22690000 | PnL: -1.18% | Hold: 5h 44m left
9:05:40 PM | WIF: $0.22690000 | PnL: -1.18% | Hold: 5h 44m left
9:05:45 PM | WIF: $0.22690000 | PnL: -1.18% | Hold: 5h 44m left
9:05:50 PM | WIF: $0.22690000 | PnL: -1.18% | Hold: 5h 44m left
9:05:55 PM | WIF: $0.22690000 | PnL: -1.18% | Hold: 5h 44m left
9:06:00 PM | WIF: $0.22690000 | PnL: -1.18% | Hold: 5h 44m left
9:06:05 PM | WIF: $0.22690000 | PnL: -1.18% | Hold: 5h 44m left
9:06:10 PM | WIF: $0.22690000 | PnL: -1.18% | Hold: 5h 44m left
9:06:15 PM | WIF: $0.22690000 | PnL: -1.18% | Hold: 5h 43m left
9:06:21 PM | WIF: $0.22710000 | PnL: -1.09% | Hold: 5h 43m left
9:06:26 PM | WIF: $0.22710000 | PnL: -1.09% | Hold: 5h 43m left
9:06:31 PM | WIF: $0.22710000 | PnL: -1.09% | Hold: 5h 43m left
9:06:36 PM | WIF: $0.22710000 | PnL: -1.09% | Hold: 5h 43m left
9:06:41 PM | WIF: $0.22710000 | PnL: -1.09% | Hold: 5h 43m left
9:06:46 PM | WIF: $0.22710000 | PnL: -1.09% | Hold: 5h 43m left
9:06:51 PM | WIF: $0.22710000 | PnL: -1.09% | Hold: 5h 43m left
9:06:57 PM | WIF: $0.22710000 | PnL: -1.09% | Hold: 5h 43m left
9:07:02 PM | WIF: $0.22710000 | PnL: -1.09% | Hold: 5h 43m left
9:07:07 PM | WIF: $0.22710000 | PnL: -1.09% | Hold: 5h 43m left
9:07:12 PM | WIF: $0.22710000 | PnL: -1.09% | Hold: 5h 43m left
9:07:17 PM | WIF: $0.22710000 | PnL: -1.09% | Hold: 5h 42m left
9:07:22 PM | WIF: $0.22710000 | PnL: -1.09% | Hold: 5h 42m left
9:07:27 PM | WIF: $0.22710000 | PnL: -1.09% | Hold: 5h 42m left
9:07:33 PM | WIF: $0.22710000 | PnL: -1.09% | Hold: 5h 42m left
9:07:38 PM | WIF: $0.22710000 | PnL: -1.09% | Hold: 5h 42m left
9:07:43 PM | WIF: $0.22710000 | PnL: -1.09% | Hold: 5h 42m left
9:07:48 PM | WIF: $0.22710000 | PnL: -1.09% | Hold: 5h 42m left
9:07:53 PM | WIF: $0.22700000 | PnL: -1.13% | Hold: 5h 42m left
9:07:58 PM | WIF: $0.22700000 | PnL: -1.13% | Hold: 5h 42m left
9:08:03 PM | WIF: $0.22700000 | PnL: -1.13% | Hold: 5h 42m left
9:08:09 PM | WIF: $0.22700000 | PnL: -1.13% | Hold: 5h 42m left
9:08:14 PM | WIF: $0.22700000 | PnL: -1.13% | Hold: 5h 42m left
9:08:19 PM | WIF: $0.22700000 | PnL: -1.13% | Hold: 5h 41m left
9:08:24 PM | WIF: $0.22680000 | PnL: -1.22% | Hold: 5h 41m left
9:08:29 PM | WIF: $0.22680000 | PnL: -1.22% | Hold: 5h 41m left
9:08:34 PM | WIF: $0.22680000 | PnL: -1.22% | Hold: 5h 41m left
9:08:40 PM | WIF: $0.22680000 | PnL: -1.22% | Hold: 5h 41m left
9:08:45 PM | WIF: $0.22680000 | PnL: -1.22% | Hold: 5h 41m left
9:08:50 PM | WIF: $0.22680000 | PnL: -1.22% | Hold: 5h 41m left
9:08:55 PM | WIF: $0.22670000 | PnL: -1.26% | Hold: 5h 41m left
9:09:00 PM | WIF: $0.22670000 | PnL: -1.26% | Hold: 5h 41m left
9:09:05 PM | WIF: $0.22670000 | PnL: -1.26% | Hold: 5h 41m left
9:09:10 PM | WIF: $0.22670000 | PnL: -1.26% | Hold: 5h 41m left
9:09:15 PM | WIF: $0.22670000 | PnL: -1.26% | Hold: 5h 40m left
9:09:21 PM | WIF: $0.22670000 | PnL: -1.26% | Hold: 5h 40m left
9:09:26 PM | WIF: $0.22670000 | PnL: -1.26% | Hold: 5h 40m left
9:09:31 PM | WIF: $0.22670000 | PnL: -1.26% | Hold: 5h 40m left
9:09:36 PM | WIF: $0.22670000 | PnL: -1.26% | Hold: 5h 40m left
9:09:42 PM | WIF: $0.22670000 | PnL: -1.26% | Hold: 5h 40m left
9:09:47 PM | WIF: $0.22670000 | PnL: -1.26% | Hold: 5h 40m left
9:09:52 PM | WIF: $0.22670000 | PnL: -1.26% | Hold: 5h 40m left
9:09:57 PM | WIF: $0.22670000 | PnL: -1.26% | Hold: 5h 40m left
9:10:02 PM | WIF: $0.22670000 | PnL: -1.26% | Hold: 5h 40m left
9:10:07 PM | WIF: $0.22670000 | PnL: -1.26% | Hold: 5h 40m left
9:10:12 PM | WIF: $0.22670000 | PnL: -1.26% | Hold: 5h 40m left
9:10:18 PM | WIF: $0.22670000 | PnL: -1.26% | Hold: 5h 39m left
9:10:23 PM | WIF: $0.22670000 | PnL: -1.26% | Hold: 5h 39m left
9:10:28 PM | WIF: $0.22700000 | PnL: -1.13% | Hold: 5h 39m left
9:10:33 PM | WIF: $0.22700000 | PnL: -1.13% | Hold: 5h 39m left
9:10:38 PM | WIF: $0.22700000 | PnL: -1.13% | Hold: 5h 39m left
9:10:43 PM | WIF: $0.22700000 | PnL: -1.13% | Hold: 5h 39m left
9:10:48 PM | WIF: $0.22700000 | PnL: -1.13% | Hold: 5h 39m left
9:10:53 PM | WIF: $0.22700000 | PnL: -1.13% | Hold: 5h 39m left
9:10:59 PM | WIF: $0.22670000 | PnL: -1.26% | Hold: 5h 39m left
9:11:04 PM | WIF: $0.22670000 | PnL: -1.26% | Hold: 5h 39m left
9:11:09 PM | WIF: $0.22670000 | PnL: -1.26% | Hold: 5h 39m left
9:11:14 PM | WIF: $0.22670000 | PnL: -1.26% | Hold: 5h 39m left
9:11:19 PM | WIF: $0.22670000 | PnL: -1.26% | Hold: 5h 38m left
9:11:24 PM | WIF: $0.22670000 | PnL: -1.26% | Hold: 5h 38m left
9:11:29 PM | WIF: $0.22670000 | PnL: -1.26% | Hold: 5h 38m left
9:11:34 PM | WIF: $0.22670000 | PnL: -1.26% | Hold: 5h 38m left
9:11:39 PM | WIF: $0.22670000 | PnL: -1.26% | Hold: 5h 38m left
9:11:45 PM | WIF: $0.22670000 | PnL: -1.26% | Hold: 5h 38m left
9:11:50 PM | WIF: $0.22670000 | PnL: -1.26% | Hold: 5h 38m left
9:11:55 PM | WIF: $0.22670000 | PnL: -1.26% | Hold: 5h 38m left
9:12:00 PM | WIF: $0.22670000 | PnL: -1.26% | Hold: 5h 38m left
9:12:05 PM | WIF: $0.22660000 | PnL: -1.31% | Hold: 5h 38m left
9:12:10 PM | WIF: $0.22660000 | PnL: -1.31% | Hold: 5h 38m left
9:12:15 PM | WIF: $0.22660000 | PnL: -1.31% | Hold: 5h 38m left
9:12:20 PM | WIF: $0.22660000 | PnL: -1.31% | Hold: 5h 37m left
9:12:25 PM | WIF: $0.22660000 | PnL: -1.31% | Hold: 5h 37m left
9:12:30 PM | WIF: $0.22660000 | PnL: -1.31% | Hold: 5h 37m left
9:12:35 PM | WIF: $0.22660000 | PnL: -1.31% | Hold: 5h 37m left
9:12:41 PM | WIF: $0.22700000 | PnL: -1.13% | Hold: 5h 37m left
9:12:46 PM | WIF: $0.22700000 | PnL: -1.13% | Hold: 5h 37m left
9:12:51 PM | WIF: $0.22700000 | PnL: -1.13% | Hold: 5h 37m left
9:12:56 PM | WIF: $0.22700000 | PnL: -1.13% | Hold: 5h 37m left
9:13:01 PM | WIF: $0.22700000 | PnL: -1.13% | Hold: 5h 37m left
9:13:06 PM | WIF: $0.22700000 | PnL: -1.13% | Hold: 5h 37m left
9:13:11 PM | WIF: $0.22700000 | PnL: -1.13% | Hold: 5h 37m left
9:13:16 PM | WIF: $0.22700000 | PnL: -1.13% | Hold: 5h 36m left
9:13:21 PM | WIF: $0.22700000 | PnL: -1.13% | Hold: 5h 36m left
9:13:26 PM | WIF: $0.22700000 | PnL: -1.13% | Hold: 5h 36m left
9:13:32 PM | WIF: $0.22700000 | PnL: -1.13% | Hold: 5h 36m left
9:13:37 PM | WIF: $0.22700000 | PnL: -1.13% | Hold: 5h 36m left
9:13:42 PM | WIF: $0.22720000 | PnL: -1.05% | Hold: 5h 36m left
9:13:47 PM | WIF: $0.22720000 | PnL: -1.05% | Hold: 5h 36m left
9:13:52 PM | WIF: $0.22720000 | PnL: -1.05% | Hold: 5h 36m left
9:13:57 PM | WIF: $0.22720000 | PnL: -1.05% | Hold: 5h 36m left
9:14:02 PM | WIF: $0.22720000 | PnL: -1.05% | Hold: 5h 36m left
9:14:07 PM | WIF: $0.22720000 | PnL: -1.05% | Hold: 5h 36m left
9:14:12 PM | WIF: $0.22720000 | PnL: -1.05% | Hold: 5h 36m left
9:14:17 PM | WIF: $0.22720000 | PnL: -1.05% | Hold: 5h 35m left
9:14:23 PM | WIF: $0.22720000 | PnL: -1.05% | Hold: 5h 35m left
9:14:28 PM | WIF: $0.22720000 | PnL: -1.05% | Hold: 5h 35m left
9:14:33 PM | WIF: $0.22720000 | PnL: -1.05% | Hold: 5h 35m left
9:14:38 PM | WIF: $0.22720000 | PnL: -1.05% | Hold: 5h 35m left
9:14:43 PM | WIF: $0.22680000 | PnL: -1.22% | Hold: 5h 35m left
9:14:48 PM | WIF: $0.22680000 | PnL: -1.22% | Hold: 5h 35m left
9:14:53 PM | WIF: $0.22680000 | PnL: -1.22% | Hold: 5h 35m left
9:14:58 PM | WIF: $0.22680000 | PnL: -1.22% | Hold: 5h 35m left
9:15:03 PM | WIF: $0.22680000 | PnL: -1.22% | Hold: 5h 35m left
9:15:08 PM | WIF: $0.22680000 | PnL: -1.22% | Hold: 5h 35m left
9:15:14 PM | WIF: $0.22680000 | PnL: -1.22% | Hold: 5h 35m left
9:15:19 PM | WIF: $0.22680000 | PnL: -1.22% | Hold: 5h 34m left
9:15:24 PM | WIF: $0.22680000 | PnL: -1.22% | Hold: 5h 34m left
9:15:29 PM | WIF: $0.22680000 | PnL: -1.22% | Hold: 5h 34m left
9:15:34 PM | WIF: $0.22680000 | PnL: -1.22% | Hold: 5h 34m left
9:15:39 PM | WIF: $0.22680000 | PnL: -1.22% | Hold: 5h 34m left
9:15:44 PM | WIF: $0.22680000 | PnL: -1.22% | Hold: 5h 34m left
9:15:49 PM | WIF: $0.22680000 | PnL: -1.22% | Hold: 5h 34m left
9:15:54 PM | WIF: $0.22680000 | PnL: -1.22% | Hold: 5h 34m left
9:16:00 PM | WIF: $0.22680000 | PnL: -1.22% | Hold: 5h 34m left
9:16:05 PM | WIF: $0.22680000 | PnL: -1.22% | Hold: 5h 34m left
9:16:10 PM | WIF: $0.22680000 | PnL: -1.22% | Hold: 5h 34m left
9:16:15 PM | WIF: $0.22680000 | PnL: -1.22% | Hold: 5h 34m left
9:16:20 PM | WIF: $0.22680000 | PnL: -1.22% | Hold: 5h 33m left
9:16:25 PM | WIF: $0.22680000 | PnL: -1.22% | Hold: 5h 33m left
9:16:30 PM | WIF: $0.22680000 | PnL: -1.22% | Hold: 5h 33m left
9:16:35 PM | WIF: $0.22680000 | PnL: -1.22% | Hold: 5h 33m left
9:16:40 PM | WIF: $0.22680000 | PnL: -1.22% | Hold: 5h 33m left
9:16:45 PM | WIF: $0.22680000 | PnL: -1.22% | Hold: 5h 33m left
9:16:50 PM | WIF: $0.22680000 | PnL: -1.22% | Hold: 5h 33m left
9:16:56 PM | WIF: $0.22680000 | PnL: -1.22% | Hold: 5h 33m left
9:17:01 PM | WIF: $0.22680000 | PnL: -1.22% | Hold: 5h 33m left
9:17:06 PM | WIF: $0.22680000 | PnL: -1.22% | Hold: 5h 33m left
9:17:11 PM | WIF: $0.22680000 | PnL: -1.22% | Hold: 5h 33m left
9:17:16 PM | WIF: $0.22680000 | PnL: -1.22% | Hold: 5h 32m left
9:17:21 PM | WIF: $0.22680000 | PnL: -1.22% | Hold: 5h 32m left
9:17:26 PM | WIF: $0.22680000 | PnL: -1.22% | Hold: 5h 32m left
